Carrera;IdCampus;Sexo;CicloIngreso;InstitucionBach_Encoded;TieneBeca;PorcentajeBeca_Promedio;MateriasInscritas_C1;MateriasAprobadas_C1;MateriasReprobadas_C1;TasaAprobacion_C1;PromedioCiclo_C1;MateriasInscritas_C2;MateriasAprobadas_C2;MateriasReprobadas_C2;TasaAprobacion_C2;PromedioCiclo_C2;TotalMateriasInscritas_Anio1;TotalMateriasAprobadas_Anio1;TotalMateriasReprobadas_Anio1;TasaAprobacion_Anio1;PromedioGeneral_Anio1;Deserto
2019-409;1;102301;01-2020;0.23377;0;NULL;4;4;0;1;7.34;4;4;0;1;7.64;8;8;0;1;7.49;0
2016-413;1;102302;01-2020;0.16667;0;NULL;4;3;0;0.75;5.12;4;4;0;1;8.33;8;7;0;0.875;6.72;0
2016-202;1;102301;01-2020;0.15873;0;NULL;5;5;0;1;8.33;5;5;0;1;8.68;10;10;0;1;8.51;0
2019-209;1;102302;01-2020;0.05063;0;NULL;5;5;0;1;7.48;4;4;0;1;7.47;9;9;0;1;7.47;0
2017-105;1;102302;01-2020;0.07778;0;NULL;4;2;2;0.5;5.9;2;1;1;0.5;5.85;6;3;3;0.5;5.87;0
2017-104;1;102301;01-2020;0.09351;0;NULL;4;3;1;0.75;7.81;5;4;0;0.8;6.57;9;7;1;0.7778;7.19;0
2019-211;1;102302;01-2020;0.13333;0;NULL;5;5;0;1;9.05;4;4;0;1;9.44;9;9;0;1;9.25;0
2017-104;1;102301;01-2020;0.05675;0;NULL;4;4;0;1;8.08;5;4;0;0.8;6.33;9;8;0;0.8889;7.21;0
2017-103;1;102301;01-2020;0.06329;0;NULL;4;1;1;0.25;2.63;4;3;1;0.75;6.63;8;4;2;0.5;4.63;0
2017-106;1;102302;01-2020;0.09524;0;NULL;4;4;0;1;8.13;4;4;0;1;7.3;8;8;0;1;7.72;0
2018-206;1;102302;01-2020;0.10256;0;NULL;3;3;0;1;7.08;3;3;0;1;8.21;6;6;0;1;7.64;0
2016-303;1;102301;01-2020;0.11801;0;NULL;5;3;1;0.6;5.56;4;4;0;1;7.19;9;7;1;0.7778;6.37;0
2014-702;1;102302;01-2020;0.16786;0;NULL;5;4;1;0.8;7.53;5;4;0;0.8;6.45;10;8;1;0.8;6.99;0
2019-209;1;102302;01-2020;0.04762;0;NULL;5;5;0;1;8.48;4;4;0;1;8.49;9;9;0;1;8.48;0
2016-413;1;102302;01-2020;0.26667;0;NULL;5;4;0;0.8;5.82;5;3;2;0.6;5.82;10;7;2;0.7;5.82;1
2016-413;1;102301;01-2020;0.10000;1;50;4;4;0;1;8.04;4;4;0;1;8.04;8;8;0;1;8.04;0
